Agency,Total detainees,Detainees with FTPS,Percentage with FTPS,Detainees w/o charges listed
Agency,2,0,0.0,0
Garland County Sheriff's Department,430,9,2.0,0
Pulaski County Sheriff's Office,1242,4,0.0,0
Saline County Sheriff's Office,243,0,0.0,0
Pope County Sheriff's Office,198,32,16.0,0
Craighead County Sheriff's Office,307,0,0.0,0
Scott County Sheriff,25,0,0.0,0
Cleburne County Sheriff's Office,42,0,0.0,0
Fulton County Sheriffs Office,23,0,0.0,0
Lonoke County Sheriff's Office,135,2,1.0,0
Independence County Sheriff's Office,93,4,4.0,0
Izard County Sheriffs Office,45,0,0.0,0
Benton County Sheriff's Office,879,62,7.0,0
Sebastian County Sheriff's Department,404,88,22.0,0
Crawford County Sheriff’s Department,198,2,1.0,0
Jefferson County Sheriff's Office,214,0,0.0,0
Cross County Sheriff's Office,94,6,6.0,0
White County Sheriff's Office,373,34,9.0,0
Lawrence County Sheriff's Office,61,2,3.0,0
Mississippi County Sheriff's Office,140,2,1.0,0
Poinsett County Sheriff's Office,107,0,0.0,0
Clark County Sheriff's Department,68,0,0.0,0
Carroll County Sheriff's Office,100,0,0.0,0
Ashley County Sheriff's Office,66,0,0.0,0
Prairie County Sheriff's Office,44,3,7.0,0
Faulkner County Sheriff's Office,397,4,1.0,0
Stone County Sheriff's Office,27,0,0.0,0
Grant County Sheriff's Office,56,1,2.0,0
Franklin County Sheriff's Office,75,2,3.0,0
Crittenden County Sheriff's Office,185,10,5.0,0
Sharp County Sheriff's Office,61,2,3.0,0
Nevada County Sheriff's Office,68,0,0.0,0
Logan County Sheriff's Office,69,6,9.0,0
Greene County Sheriff's Office,341,57,17.0,0
Arkansas County Sheriff's Office,78,2,3.0,0
Miller County Sheriff's Office,287,0,0.0,0
Marion County Sheriff's Office,51,10,20.0,0
Newton County Sheriff's Office,28,1,4.0,0
Lafayette County Sheriff's Office,44,1,2.0,0
Columbia County Sheriff's Office,61,0,0.0,0
Ouachita County Sheriff's Office,126,4,3.0,0
Baxter County Sheriff's Office,131,0,0.0,0
Osceola Police Department,26,0,0.0,0
Yell County Sheriff's Department,41,0,0.0,0
Sevier County Sheriff's Office,104,3,3.0,0
Johnson County Sheriff's Office,88,2,2.0,0
Union County Sheriff's Office,162,0,0.0,0
Jackson County Sheriff's Office,102,0,0.0,0
Calhoun County Sheriff's Office,17,1,6.0,0
Searcy County Sheriff's Office,29,0,0.0,0
Hot Spring County Sheriff's Office,55,0,0.0,0
England Police Department,2,0,0.0,0
Conway County Sheriff's Office,75,0,0.0,0
Boone County Sheriff's Office,93,0,0.0,0
Crossett Police Department,3,0,0.0,0
Lincoln County Sheriff's Office,28,1,4.0,0
Woodruff County Sheriff's Office,34,0,0.0,0
Pike County Sheriff's Office,43,2,5.0,0
Howard County Sheriff's Office,41,0,0.0,0
Randolph County Sheriff's Office,90,2,2.0,0
Montgomery County Sheriff's Office,31,1,3.0,0
Polk County Sheriff's Office,20,0,0.0,0
Van Buren County Sheriff's Office,60,0,0.0,0
Little River County Sheriff's Office,29,0,0.0,0
Chicot County Sheriff's Office,8,0,0.0,0
St. Francis County Sheriff's Office,42,0,0.0,0
Crawford County Sheriff�â��s Department,137,2,1.0,0
Phillips County Sheriff's Office,47,0,0.0,0
Hempstead County Sheriff's Office,53,0,0.0,0
Perry County Sheriff's Office,19,0,0.0,0
Delta Regional Unit,4,0,0.0,0
East Arkansas Regional Unit,7,0,0.0,0
McGehee Police Department,5,0,0.0,0
Dumas City Jail,14,0,0.0,0
Monroe County Sheriff's Office,10,1,10.0,0
Carlisle Police Department,1,0,0.0,0
Lee County Sheriff's Office,2,0,0.0,0
Cleveland County Sheriff's Office,5,0,0.0,0
Bradley County Sheriff's Office,2,0,0.0,0
Cabot Police Department,1,0,0.0,0
